no	url	Lat	Lng	Price	DateListed	LastEdit	SelerType	Make	Model	Variant	BodyType	Year	Km	Trans	DriveTrain	Fuel	AC	Cyl	EngLit	Reg	RegExp	RegNum	Country	State
877	https://www.gumtree.com.au//s-ad/berwick/cars-vans-utes/2016-audi-q3-8u-my16-tdi-s-tronic-quattro-white-7-speed-sports-automatic-dual-clutch-wagon/1127227821	-38.03999329	145.3483887	52880	 02/03/2017	 17/02/2017	Dealer used	Audi	Q3	2.0 TDI QUATTRO (110kW)	Wagon	2016	2021	Automatic	All Wheel Drive	Diesel	Yes	4	2			AKK201	Germany	Victoria
878	https://www.gumtree.com.au//s-ad/berwick/cars-vans-utes/2016-audi-a3-8v-my16-ambition-s-tronic-quattro-grey-6-speed-sports-automatic-dual-clutch-sedan/1133223860	-38.03999329	145.3483887	55880	 02/03/2017	 26/02/2017	Dealer used	Audi	A3	1.8 TFSI AMBITION QUATTRO	Sedan	2016	2011	Automatic	All Wheel Drive	Petrol - Premium Unleaded	Yes	4	1	Yes	01-09-17	AJV146	Germany	Victoria
879	https://www.gumtree.com.au//s-ad/berwick/cars-vans-utes/2016-audi-q3-8u-my16-tfsi-s-tronic-quattro-sport-white-7-speed-sports-automatic-dual-clutch-wagon/1132858431	-38.03999329	145.3483887	55990	 02/03/2017	 22/02/2017	Dealer used	Audi	Q3	2.0 TFSI SPORT QUATTRO (132kW)	Wagon	2016	2012	Automatic	All Wheel Drive	Petrol - Premium Unleaded	Yes	4	2			ALK744	Germany	Victoria
880	https://www.gumtree.com.au//s-ad/berwick/cars-vans-utes/2016-audi-q3-8u-my16-tfsi-s-tronic-quattro-sport-grey-7-speed-sports-automatic-dual-clutch-wagon/1127271602	-38.03999329	145.3483887	57880	 02/03/2017	 17/02/2017	Dealer used	Audi	Q3	2.0 TFSI SPORT QUATTRO (132kW)	Wagon	2016	2032	Automatic	All Wheel Drive	Petrol - Premium Unleaded	Yes	4	2			AKQ111	Germany	Victoria
881	https://www.gumtree.com.au//s-ad/berwick/cars-vans-utes/2016-audi-a4-b9-f4-my17-allroad-s-tronic-quattro-white-7-speed-sports-automatic-dual-clutch-wagon/1132858786	-38.03999329	145.3483887	79880	 02/03/2017	 22/02/2017	Dealer used	Audi	A4	ALLROAD 2.0 TDI QTTRO S TRONIC	Sedan	2016	2017	Automatic	All Wheel Drive	Diesel	Yes	4	2			AKZ807	Germany	Victoria
882	https://www.gumtree.com.au//s-ad/berwick/cars-vans-utes/2016-audi-a4-b9-f4-my16-sport-s-tronic-grey-7-speed-sports-automatic-dual-clutch-sedan/1140115300	-38.03999329	145.3483887	62880	 02/03/2017	 24/02/2017	Dealer used	Audi	A4	2.0 TFSI S TRONIC SPORT	Sedan	2016	2010	Automatic	Front Wheel Drive	Petrol - Premium Unleaded	Yes	4	2	Yes	01-04-17	AKZ808	Germany	Victoria
883	https://www.gumtree.com.au//s-ad/five-dock/cars-vans-utes/audi-tt-sline-quattro-my06/1138681614	-33.867398	151.128947	22000	 10/02/2017	 06/03/2017	Private seller	Audi	TT	QUATTRO S-LINE	Coupe (2 door)	2005	59400	Manual	All Wheel Drive	Petrol - Premium Unleaded	Yes	4	n	Yes		CIY55W	Germany	New South Wales
884	https://www.gumtree.com.au//s-ad/burwood/cars-vans-utes/2016-audi-a4-b8-8k-my16-allroad-s-tronic-quattro-grey-7-speed-sports-automatic-dual-clutch-wagon/1139322650	-37.8510704	145.0987549	64990	 02/03/2017	 02/03/2017	Dealer used	Audi	A4	ALLROAD 2.0 TDI QTTRO S TRONIC	Sedan	2016	5552	Automatic	All Wheel Drive	Diesel	Yes	4	2			AKO176	Germany	Victoria
885	https://www.gumtree.com.au//s-ad/berwick/cars-vans-utes/2016-audi-q7-4m-my17-tdi-tiptronic-quattro-black-8-speed-sports-automatic-wagon/1132306947	-38.03999329	145.3483887	118880	 02/03/2017	 17/02/2017	Dealer used	Audi	Q7	3.0 TDI QUATTRO	Wagon	2016	2455	Automatic	All Wheel Drive	Diesel	Yes	6	3			ALK730	Germany	Victoria
886	https://www.gumtree.com.au//s-ad/berwick/cars-vans-utes/2016-audi-a1-8x-my17-sport-sportback-s-tronic-white-7-speed-sports-automatic-dual-clutch-hatchback/1138726285	-38.03999329	145.3483887	35880	 03/03/2017	 10/02/2017	Dealer used	Audi	A1	SPORTBACK 1.4 TFSI SPORT	Hatchback	2016	2011	Automatic	Front Wheel Drive	Petrol - Premium Unleaded	Yes	4	1			AMF331	Germany	Victoria
